%eval_id interface             x1             y1      objective        nlcon_1 
218      interface  0.08699434907 -0.02400400584   -2959.287955  -0.9097547283 
219      interface   0.1196401856   -0.143412252   -2650.809167  -0.8132358492 
220      interface -0.06058823972 -0.02400400584   -3047.590105  -0.9348300139 
221      interface -0.04924728444  -0.6247430083   -1807.286324  -0.3733189636 
222      interface   0.1196401856   -1.581292249    0.585811764    0.585811764 
223      interface -0.04924728444    1.424703203   0.4255541069   0.4255541069 
224      interface   0.1755987751  -0.5504192238   -1867.583126  -0.4222489708 
225      interface   -1.127783538 -0.04591873197   0.1287179623   0.1287179623 
226      interface   0.1196401856   -1.726245912   0.7303868708   0.7303868708 
227      interface   -1.320566188 -0.02400400584   0.3207843311   0.3207843311 
228      interface -0.06058823972   -1.414931385   0.4162280039   0.4162280039 
229      interface   -1.233735695  0.02900121642   0.2340765113   0.2340765113 
230      interface  0.08699434907  0.02900121642   -2953.348122  -0.9082989241 
231      interface   0.1755987751   0.8112413598   -1617.317174  -0.1699714019 
232      interface  -0.5022557911 -0.02400400584   -1978.462434  -0.4971709316 
233      interface -0.04924728444    1.725212211   0.7259149655   0.7259149655 
234      interface  0.08699434907   -0.143412252   -2708.958909  -0.8322648195 
235      interface -0.06058823972   0.7270944764   -1701.968974  -0.2703855043 
236      interface   0.1755987751    1.928915977   0.9368922985   0.9368922985 
237      interface  0.08699434907   0.1802589959   -2617.404338  -0.7998467528 
238      interface  0.08699434907    1.134396385   0.1377271971   0.1377271971 
239      interface   0.1196401856  -0.4139844619   -2096.887463  -0.5690743583 
240      interface   -0.376316379  0.02900121642   -2205.546169  -0.6225677708 
241      interface    1.845000127   0.1788375071   0.8536473026   0.8536473026 
242      interface   0.1196401856  -0.8333739782              0  -0.1580819746 
243      interface   0.1196401856 -0.06518214292   -2786.807476  -0.8637557863 
244      interface -0.06058823972   -1.454303948   0.4555654942   0.4555654942 
245      interface -0.03941023258  0.02900121642   -3101.718371   -0.951069059 
246      interface  0.08699434907   -1.325269878   0.3281220826   0.3281220826 
247      interface -0.06058823972   0.3420582108   -2257.444283  -0.6526172797 
248      interface -0.06058823972   0.7946626464   -1640.833442  -0.2030309565 
249      interface -0.03941023258 -0.02400400584   -3112.259415  -0.9538550249 
250      interface  0.08699434907 -0.04591873197   -2908.551594  -0.9016305601 
251      interface   -1.481264617 -0.04591873197   0.4819761791   0.4819761791 
252      interface -0.03941023258   -1.135040482   0.1357244658   0.1357244658 
253      interface   -1.559633093  0.02900121642    0.559902707    0.559902707 
254      interface   0.3857116207  0.02900121642   -2178.728189  -0.6131996317 
255      interface   -1.422957781 -0.02400400584   0.4231602295   0.4231602295 
256      interface   0.1196401856   -1.615667168   0.6200907912   0.6200907912 
257      interface   -1.579016279  0.02900121642   0.5792825839   0.5792825839 
258      interface   0.1196401856    1.976098999   0.9797174111   0.9797174111 
259      interface -0.03941023258   -1.117163691   0.1178586131   0.1178586131 
260      interface -0.03941023258   -0.143412252   -2774.488296  -0.8512712521 
261      interface  0.08699434907  -0.4187684964   -2102.213446  -0.5722909045 
262      interface -0.04924728444   -1.743317379    0.744012838    0.744012838 
263      interface    1.798663743 -0.02400400584   0.7988239082   0.7988239082 
